1	110000000000	北京市
2	110100000000	市辖区
3	110101000000	东城区
4	110101001000	东华门街道
5	110101001001	多福巷社区居委会
5	110101001002	银闸社区居委会
5	110101001005	东厂社区居委会
5	110101001006	智德社区居委会
5	110101001007	南池子社区居委会
5	110101001008	黄图岗社区居委会
5	110101001009	灯市口社区居委会
5	110101001010	正义路社区居委会
5	110101001011	甘雨社区居委会
5	110101001013	台基厂社区居委会
5	110101001014	韶九社区居委会
5	110101001015	王府井社区居委会
4	110101002000	景山街道
5	110101002001	隆福寺社区居委会
5	110101002002	吉祥社区居委会
5	110101002003	黄化门社区居委会
5	110101002004	钟鼓社区居委会
5	110101002005	魏家社区居委会
5	110101002006	汪芝麻社区居委会
5	110101002008	景山东街社区居委会
5	110101002009	皇城根北街社区居委会
4	110101003000	交道口街道
